"NUTS_ID","NAME_LATN","NAME_ENGL","ISO3_CODE","calc_grass","non_calc_grass","grass_missing_data","all_grass","total_area"
"EL65","Peloponnisos","Greece","GRC",1046.6734,889.019,153.7341,2089.4265,15499.292
"DEA3","Münster","Germany","DEU",137.3966,960.4836,28.916,1126.7962,6918.3878
"EL52","Kentriki Makedonia","Greece","GRC",409.0576,2634.7982,191.386,3235.2418,18842.7868
"DK04","Midtjylland","Denmark","DNK",0,2992.0798,312.7731,3304.8529,13175.2417
"DEA4","Detmold","Germany","DEU",387.159,775.6602,24.5202,1187.3394,6524.9779
"DEG0","Thüringen","Germany","DEU",868.5396,1734.4832,47.7357,2650.7585,16200.9714
"EL53","Dytiki Makedonia","Greece","GRC",496.5407,1985.9834,50.089,2532.6131,9461.851
"DEA5","Arnsberg","Germany","DEU",197.5801,1382.1341,35.5272,1615.2414,8014.7234
"DK01","Hovedstaden","Denmark","DNK",0.0564,495.3208,127.7508,623.128,2577.2236
"DK05","Nordjylland","Denmark","DNK",3.6713,2164.8295,253.8099,2422.3107,7946.798
"EL54","Ipeiros","Greece","GRC",790.3992,886.4367,131.9298,1808.7657,9149.3095
"DEB1","Koblenz","Germany","DEU",148.9238,1394.5453,22.5598,1566.0289,8073.0689
"DEB2","Trier","Germany","DEU",348.5053,983.3909,12.8613,1344.7575,4928.4643
"DK02","Sjælland","Denmark","DNK",0.0911,1079.5462,303.3466,1382.9839,7325.4179
"EL61","Thessalia","Greece","GRC",754.7842,2221.5412,78.4878,3054.8132,14051.8229
"DEB3","Rheinhessen-Pfalz","Germany","DEU",122.2322,661.1982,18.5272,801.9576,6850.6645
"EE00","Eesti","Estonia","EST",193.8754,8780.2803,620.1892,9594.3449,45337.4954
"DEC0","Saarland","Germany","DEU",180.037,337.6965,7.2336,524.9671,2572.3055
"EL62","Ionia Nisia","Greece","GRC",16.4982,160.5335,97.965,274.9967,2295.3496
"DED2","Dresden","Germany","DEU",88.184,1296.7681,42.0642,1427.0163,7946.0527
"DK03","Syddanmark","Denmark","DNK",0.0344,2669.8379,438.085,3107.9573,12160.5289
"EL30","Attiki","Greece","GRC",62.1319,344.5767,136.6618,543.3704,3816.9152
"DE92","Hannover","Germany","DEU",284.3688,1107.8302,32.0132,1424.2122,9064.2356
